"Report Period","Cert/ID","Institution Name","City","State","Class","A","L"
"20221231","29173","NEW CARLISLE FEDERAL SAVINGS BANK","NEW CARLISLE","OH","SB","222073","153704"
"20221231","29177","BANKTENNESSEE","COLLIERVILLE","TN","SM","545520","468292"
"20221231","29186","LAWRENCEBURG FEDERAL BANK","LAWRENCEBURG","TN","SI","75053","54800"
"20221231","29188","FOX VALLEY SAVINGS BANK","FOND DU LAC","WI","SI","394538","305912"
"20221231","29206","GRAHAM SAVINGS AND LOAN, SSB","GRAHAM","TX","SI","156268","127350"
"20221231","29208","DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB","DALHART","TX","SI","210690","178240"
"20221231","29209","NEXBANK","DALLAS","TX","NM","14304653","9925543"
"20221231","29227","WASHINGTON SAVINGS BANK","EFFINGHAM","IL","SI","588997","518008"
"20221231","29231","COUNTY SAVINGS BANK","ESSINGTON","PA","SB","101135","93991"
"20221231","29238","WOODRUFF FEDERAL SAVINGS AND LOAN ASSOCIATION","WOODRUFF","SC","SB","93674","59234"
"20221231","29241","HENDERSON FEDERAL SAVINGS BANK","HENDERSON","TX","SB","114073","88103"
"20221231","29268","EUREKA HOMESTEAD","METAIRIE","LA","SB","103299","63887"
"20221231","29293","CUMBERLAND FEDERAL BANK, FSB","CUMBERLAND","WI","SB","238651","200293"
"20221231","29294","PREVAIL BANK","MEDFORD","WI","SB","931741","734406"
"20221231","29331","TC FEDERAL BANK","THOMASVILLE","GA","SB","429543","347584"
"20221231","29332","FIRST SOUTHERN BANK","FLORENCE","AL","NM","558320","512481"
"20221231","29345","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","DELTA","OH","SB","232834","204590"
"20221231","29357","FAMILY BANK","PELHAM","GA","SB","140621","120243"
"20221231","29379","SIDNEY FEDERAL SAVINGS AND LOAN ASSOCIATION","SIDNEY","NE","SB","15823","14750"
"20221231","29384","PERU FEDERAL SAVINGS BANK","PERU","IL","SB","174030","152723"
"20221231","29399","GN BANK","CHICAGO","IL","SB","71844","61443"
"20221231","29426","WORTHINGTON FEDERAL SAVINGS BANK, FSB","WORTHINGTON","MN","SB","99709","81621"
"20221231","29430","COMPASS SAVINGS BANK","WILMERDING","PA","SI","58319","46443"
"20221231","29449","NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO","CHICAGO","IL","SB","44750","41469"
"20221231","29471","ARMSTRONG COUNTY BUILDING AND LOAN ASSOCIATION","FORD CITY","PA","SI","93342","78213"
"20221231","29476","HOME FEDERAL SAVINGS AND LOAN ASSOCIATION OF GRAND ISLAND","GRAND ISLAND","NE","SB","426464","368291"
"20221231","29486","KINGSTREE FEDERAL SAVINGS AND LOAN ASSOCIATION","KINGSTREE","SC","SB","36100","30550"
"20221231","29488","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD","LAKEWOOD","OH","SB","2548129","1869801"
"20221231","29490","FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF RAVENSWOOD","RAVENSWOOD","WV","SB","24050","21378"
"20221231","29495","VAN WERT FEDERAL SAVINGS BANK","VAN WERT","OH","SB","147126","114453"
"20221231","29496","SENECA SAVINGS","BALDWINSVILLE","NY","SB","235191","188474"
"20221231","29501","INTERSTATE FEDERAL SAVINGS AND LOAN ASSOCIATION OF MCGREGOR","MCGREGOR","IA","SB","6855","5067"
"20221231","29510","AFFINITY BANK","COVINGTON","GA","SB","791958","668973"
"20221231","29517","PIONEER FEDERAL SAVINGS AND LOAN ASSOCIATION","DEER LODGE","MT","SL","103385","85443"
"20221231","29520","WASHINGTON FINANCIAL BANK","WASHINGTON","PA","SI","1654591","1468046"
"20221231","29521","FIDELITY FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELAWARE","DELAWARE","OH","SB","125761","109301"
"20221231","29523","PEOPLES BANK","MUNSTER","IN","NM","2066734","1777078"
"20221231","29532","NOKOMIS SAVINGS BANK","NOKOMIS","IL","SI","28389","21257"
"20221231","29535","DE WITT SAVINGS BANK","CLINTON","IL","SI","143749","112552"
"20221231","29537","FIRST FEDERAL BANK & TRUST","SHERIDAN","WY","SB","543770","484640"
"20221231","29546","GREAT SOUTHERN BANK","REEDS SPRING","MO","NM","5684000","4720488"
"20221231","29548","PINNACLE BANK","JASPER","AL","NM","331946","325257"
"20221231","29566","UNITED FIDELITY BANK, FSB","EVANSVILLE","IN","SB","5651849","4348113"
"20221231","29571","THE HOME SAVINGS AND LOAN COMPANY OF KENTON, OHIO","KENTON","OH","NM","183227","141517"
"20221231","29577","HERITAGE BANK OF ST TAMMANY","COVINGTON","LA","SB","179596","137156"
"20221231","29578","MONROE FEDERAL SAVINGS AND LOAN ASSOCIATION","TIPP CITY","OH","SB","149358","135064"
"20221231","29582","PEE DEE FEDERAL SAVINGS BANK","MARION","SC","SB","38586","32216"
"20221231","29613","ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION","NOTTINGHAM","MD","SB","1212712","945720"
"20221231","29617","FIRST MUTUAL BANK, FSB","BELPRE","OH","SB","109906","96838"
"20221231","29624","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF MCMINNVILLE","MCMINNVILLE","OR","SB","624594","557358"
"20221231","29627","SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF PHILADELPHIA","PHILADELPHIA","PA","SB","34460","18474"
"20221231","29632","WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION","WINDSOR","CT","SB","749050","655929"
"20221231","29636","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH","BATH","ME","SB","181529","149099"
"20221231","29637","BIG HORN FEDERAL SAVINGS BANK","GREYBULL","WY","SB","348545","302177"
"20221231","29645","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS, S.B.","SHELBYVILLE","IL","SI","194112","161120"
"20221231","29646","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","ABERDEEN","MS","SB","48082","40978"
"20221231","29657","GREAT MIDWEST BANK, S.S.B.","BROOKFIELD","WI","SI","908733","560884"
"20221231","29672","CFSBANK","CHARLEROI","PA","SB","603775","522760"
"20221231","29675","IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION","WATSEKA","IL","SB","823727","674144"
"20221231","29676","PAPER CITY SAVINGS ASSOCIATION","WISCONSIN RAPIDS","WI","SL","196989","159282"
"20221231","29677","NASHVILLE SAVINGS BANK","NASHVILLE","IL","SI","86053","76754"
"20221231","29679","ANTHEM BANK & TRUST","PLAQUEMINE","LA","SB","171864","145679"
"20221231","29683","HOME FEDERAL BANK OF TENNESSEE","KNOXVILLE","TN","SB","2812950","2169657"
"20221231","29685","MARTINSVILLE FIRST SAVINGS BANK","MARTINSVILLE","VA","SB","35065","28762"
"20221231","29690","FIRST FEDERAL SAVINGS BANK","HUNTINGTON","IN","NM","445408","367423"
"20221231","29691","KEYSAVINGS BANK","WISCONSIN RAPIDS","WI","SI","86387","72405"
"20221231","29692","LINCOLN FSB OF NEBRASKA","LINCOLN","NE","SB","371482","274729"
"20221231","29695","THE HOME LOAN SAVINGS BANK","COSHOCTON","OH","SL","273279","218752"
